"","CO_ANO","CO_MES","CO_NCM","CO_UNID","CO_PAIS","SG_UF_NCM","CO_VIA","CO_URF","QT_ESTAT","KG_LIQUIDO","VL_FOB"
"841",2018,2,82054000,10,361,"PR",4,817600,1,1,10
"842",2018,2,17019900,21,845,"SP",7,1010252,1847,1847200,654066
"843",2018,12,73209000,10,586,"MG",7,917500,0,1,122
"844",2018,11,84219999,10,431,"SP",4,817600,7,7,333
"845",2018,6,39231090,10,589,"SP",4,817700,100,2,340
"846",2018,11,84368000,11,586,"SC",7,917500,40,1742,16554
"847",2018,1,90292010,11,845,"PR",7,1017900,2,2,113
"848",2018,9,20094900,10,573,"SE",1,517800,81855,81855,76081
"849",2018,9,9030090,10,399,"SP",1,817800,3960,3960,18660
"850",2018,1,9011110,21,245,"MG",1,817800,283977,1902731,4968318
"851",2018,4,84349000,10,169,"RS",4,817600,436,436,6159
"852",2018,3,87082999,11,196,"PR",4,817600,44,42,1757
"853",2018,3,73209000,10,845,"SP",4,817600,4,4,90
"854",2018,9,73071920,10,365,"SP",4,817600,0,1,7
"855",2018,10,85322590,11,399,"SC",4,817700,6,1,6
"856",2018,12,96033000,11,53,"SP",4,817600,350,8,657
"857",2018,10,85437099,11,249,"MG",4,817700,3,28,15651
"858",2018,10,4090000,10,249,"RS",0,1017700,37620,37620,104960
"859",2018,7,55161400,10,586,"SC",7,917500,197,197,25206
"860",2018,6,21039091,10,586,"PR",7,147800,1148,1148,1185
"861",2018,1,44129900,16,23,"PR",1,927800,612,316695,173069
"862",2018,1,84133090,11,365,"ND",4,817600,2,8,361
"863",2018,2,87089483,11,845,"SP",1,817800,2,21,761
"864",2018,2,64022000,13,474,"MG",1,417902,6456,1943,19987
"865",2018,2,83021000,10,845,"ND",7,1017701,4,4,188
"866",2018,2,39011010,10,161,"RS",1,1017700,123750,123750,135180
"867",2018,2,94018000,11,158,"RS",4,817700,400,55,1080
"868",2018,3,90184999,11,249,"SC",4,817700,713,22,13052
"869",2018,3,84233019,11,63,"SP",7,1017500,2,5246,80000
"870",2018,7,64041900,13,791,"RS",4,817600,317,110,4234
"871",2018,12,84835090,11,361,"PR",4,917900,15,1238,8223
"872",2018,11,73261900,10,249,"SP",1,817800,3012,1456,37617
"873",2018,1,73181500,10,158,"RE",4,817700,46,46,1362
"874",2018,1,85115010,11,687,"SP",1,817800,1,7,273
"875",2018,12,73181500,10,23,"RS",1,1017700,46928,46928,162917
